Title,Author,Rating,Image Source
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.33,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052.jpg
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2.jpg
To Kill a Mockingbird,Harper Lee,4.27,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657.jpg
Pride and Prejudice,Jane Austen,4.26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg
"Twilight (Twilight, #1)",Stephenie Meyer,3.59,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039443i/41865.jpg
The Book Thief,Markus Zusak,4.37,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063.jpg
Animal Farm,George Orwell,3.93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448.jpg
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,4.26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449868701i/11127.jpg
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.6,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346072396i/30.jpg
Gone with the Wind,Margaret Mitchell,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405.jpg
The Fault in Our Stars,John Green,4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360206420i/11870085.jpg
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152i/386162.jpg
The Giving Tree,Shel Silverstein,4.37,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174210942i/370493.jpg
Wuthering Heights,Emily Brontë,3.85,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185.jpg
