id,title,author,rating,img_src,genre
1,"When We Were Very Young (Winnie-the-Pooh, #3)",A.A. Milne,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348198334i/821003.jpg,Children
2,The Twits,Roald Dahl,3.96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406090629i/31456.jpg,Children
3,"It's a Busy, Busy World",Richard Scarry,4.26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1326210319i/1425766.jpg,Children
4,Number the Stars,Lois Lowry,4.15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370917812i/47281.jpg,Children
5,Fox in Socks,Dr. Seuss,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348848931i/105551.jpg,Children
6,Little Red Riding Hood,Trina Schart Hyman,4.13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1314485414i/920143.jpg,Children
7,"The Great Brain (Great Brain, #1)",John D. Fitzgerald,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311781413i/119247.jpg,Children
8,The Cat in the Hat Comes Back,Dr. Seuss,3.86,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332799738i/667234.jpg,Children
9,"Frog and Toad Together (Frog and Toad, #2)",Arnold Lobel,4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388457665i/94803.jpg,Children
10,Guess How Much I Love You,Sam McBratney,4.37,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320457007i/301736.jpg,Children
11,"Otherwise Known as Sheila the Great (Fudge, #2)",Judy Blume,3.95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585108731i/80670.jpg,Children
12,"The Wolves of Willoughby Chase (The Wolves Chronicles, #1)",Joan Aiken,4.08,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441688212i/36638.jpg,Children
13,"Ramona and Her Father (Ramona, #4)",Beverly Cleary,4.04,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408925643i/91247.jpg,Children
14,"Betsy-Tacy (Betsy-Tacy, #1)",Maud Hart Lovelace,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440321278i/7909.jpg,Children
15,The Arabian Nights,testing testing,4.05,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388212809i/93101.jpg,Children
16,Bambi,Felix Salten,4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344401718i/739840.jpg,Children
17,"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,4.03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308814830i/84369.jpg,Children
18,The Five Chinese Brothers,Claire Huchet Bishop,4.19,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432233658i/65217.jpg,Children
19,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,3.95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436737029i/78411.jpg,Children
20,"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1305545757i/77390.jpg,Children
21,"The Voyages of Doctor Dolittle (Doctor Dolittle, #2)",Hugh Lofting,4.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1173762814i/325416.jpg,Children
22,Five Children and It (Five Children #1),E. Nesbit,3.88,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327882197i/45181.jpg,Children
23,Just So Stories,Rudyard Kipling,4.08,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546075870i/34053.jpg,Children
24,What Katy Did,Susan Coolidge,3.9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327538133i/730501.jpg,Children
25,Pippi in the South Seas,Astrid Lindgren,4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348636160i/19307.jpg,Children
26,"Shiloh (Shiloh, #1)",Phyllis Reynolds Naylor,3.94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387737804i/207153.jpg,Children
27,The Adventures of Tom Sawyer and Adventures of Huckleberry Finn,Mark Twain,4.08,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309211915i/24580.jpg,Children
28,"My Friend Flicka (Flicka, #1)",Mary O'Hara,4.16,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429495342i/164542.jpg,Children
29,The True Story of the 3 Little Pigs,Jon Scieszka,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327884731i/125507.jpg,Children
30,"Ender’s Game (Ender’s Saga, #1)",Orson Scott Card,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802.jpg,Children
31,"Dealing with Dragons (Enchanted Forest Chronicles, #1)",Patricia C. Wrede,4.15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385526967i/150739.jpg,Children
32,The Princess and the Pea,Janet Stevens,4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348192494i/576570.jpg,Children
33,The Prince and the Pauper,Mark Twain,3.85,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376406798i/62446.jpg,Children
