id,title,year,genre,stars,rating,duration,img_src,YT_link
1,The Wire,2002,"Crime, Drama, Thriller","['Lance Reddick', 'Sonja Sohn', 'Wendell Pierce']",9.3,59,"""https://m.media-amazon.com/images/M/MV5BZmY5ZDMxODEtNWIwOS00NjdkLTkyMjktNWRjMDhmYjJjN2RmXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg""",9qK-VGjMr8g
2,Battlestar Galactica,2004,"Action, Adventure, Drama","['Mary McDonnell', 'Jamie Bamber', 'James Callis']",8.7,44,"""https://m.media-amazon.com/images/M/MV5BZjBjMjk4YWQtZjY1MC00NTI5LWEwZDMtYWMyYjk2MjkzMThhXkEyXkFqcGdeQXVyNzA5NjUyNjM@.jpg""",q2x14ZhEc9k
3,Lost,2004,"Adventure, Drama, Fantasy","['Josh Holloway', 'Yunjin Kim', 'Evangeline Lilly']",8.3,44,"""https://m.media-amazon.com/images/M/MV5BNzhlY2E5NDUtYjJjYy00ODg3LWFkZWQtYTVmMzU4ZWZmOWJkXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg""",KTu8iDynwNc
4,Game of Thrones,2011,"Action, Adventure, Drama","['Peter Dinklage', 'Kit Harington', 'Lena Headey']",9.3,57,"""https://m.media-amazon.com/images/M/MV5BYTRiNDQwYzAtMzVlZS00NTI5LWJjYjUtMzkwNTUzMWMxZTllXkEyXkFqcGdeQXVyNDIzMzcwNjc@.jpg""",rlR4PJn8b8I
5,Prison Break,2005,"Action, Crime, Drama","['Wentworth Miller', 'Amaury Nolasco', 'Robert Knepper']",8.3,44,"""https://m.media-amazon.com/images/M/MV5BMTg3NTkwNzAxOF5BMl5BanBnXkFtZTcwMjM1NjI5MQ@@.jpg""",AL9zLctDJaU
6,Firefly,2002,"Adventure, Drama, Sci-Fi","['Gina Torres', 'Alan Tudyk', 'Morena Baccarin']",9.5,44,"""https://m.media-amazon.com/images/M/MV5BOTcwNzkwMDItZmM1OC00MmQ2LTgxYjgtOTNiNDgxZDAxMjk0XkEyXkFqcGdeQXVyNDQ0MTYzMDA@.jpg""",mEx6UpiIKM4
7,Breaking Bad,2008,"Crime, Drama, Thriller","['Aaron Paul', 'Anna Gunn', 'Betsy Brandt']",8.7,49,"""https://m.media-amazon.com/images/M/MV5BMjhiMzgxZTctNDc1Ni00OTIxLTlhMTYtZTA3ZWFkODRkNmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg""",HhesaQXLuRY
8,Oz,1997,"Crime, Drama, Thriller","['J.K. Simmons', 'Lee Tergesen', 'Dean Winters']",9.1,55,"""https://m.media-amazon.com/images/M/MV5BOGE0MDgxMGMtY2YyZi00MWU4LWE3MzMtNzAwYjM4YWUxMWVmXkEyXkFqcGdeQXVyNDIzMzcwNjc@.jpg""",h9_7kF-ctEo
9,Sherlock,2010,"Crime, Drama, Mystery","['Martin Freeman', 'Una Stubbs', 'Rupert Graves']",8.7,88,"""https://m.media-amazon.com/images/M/MV5BMWY3NTljMjEtYzRiMi00NWM2LTkzNjItZTVmZjE0MTdjMjJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTQ4NTc5OTU@.jpg""",xK7S9mrFWL4
10,Six Feet Under,2001,"Comedy, Drama","['Michael C. Hall', 'Frances Conroy', 'Lauren Ambrose']",8.6,55,"""https://m.media-amazon.com/images/M/MV5BMTQzODk5N2UtYjE4ZC00YWM1LWJkMGYtYmY2NjNjMjIzZDRmXkEyXkFqcGdeQXVyNTE1NjY5Mg@@.jpg""",VT6Fq1ENb8s
11,Doctor Who,2005,"Adventure, Drama, Family","['Peter Capaldi', 'Pearl Mackie', 'Matt Smith']",8.4,45,"""https://m.media-amazon.com/images/M/MV5BZWJhYjFmZDEtNTVlYy00NGExLWJhZWItNTAxODY5YTc3MDFmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg""",MLn1IuAyKaI
12,Supernatural,2005,"Drama, Fantasy, Horror","['Jensen Ackles', 'Jim Beaver', 'Misha Collins']",8.6,44,"""https://m.media-amazon.com/images/M/MV5BMTJhM2VhZDItMTk4OS00MTRjLTlmMDQtNzEyYmM0NDA0YjhjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg""",t-775JyzDTk
13,Mad Men,2007,Drama,"['Elisabeth Moss', 'Vincent Kartheiser', 'January Jones']",8.6,47,"""https://m.media-amazon.com/images/M/MV5BMjMwNzk5Nzg2OV5BMl5BanBnXkFtZTgwMjg1OTk1NDE@.jpg""",xUHlMgJxF30
14,Deadwood,2004,"Crime, Drama, History","['Ian McShane', 'Molly Parker', 'Brad Dourif']",8.7,55,"""https://m.media-amazon.com/images/M/MV5BNDJhMjUzMDYtNzc4MS00Nzk2LTkyMGQtN2M5NTczYTZmYmY5XkEyXkFqcGdeQXVyMzU3MTc5OTE@.jpg""",nW4Dc-WqvJk
15,Rome,2005,"Action, Drama, History","['Ray Stevenson', 'Polly Walker', 'Kerry Condon']",8.3,52,"""https://m.media-amazon.com/images/M/MV5BYTM4MmU1NWYtNzJjYy00YWFhLThjOGEtZmMxOGI1NzE0NGNiXkEyXkFqcGdeQXVyNDIzMzcwNjc@.jpg""",2s1RoX1OeC0
16,24,2001,"Action, Crime, Drama","['Mary Lynn Rajskub', 'Carlos Bernard', 'Dennis Haysbert']",8.7,44,"""https://m.media-amazon.com/images/M/MV5BMTg5OTkyNzA0NF5BMl5BanBnXkFtZTcwMDYyMDUwMg@@.jpg""",7lxDREJ4vTo
17,Downton Abbey,2010,"Drama, Romance","['Phyllis Logan', 'Elizabeth McGovern', 'Brendan Coyle']",9.2,58,"""https://m.media-amazon.com/images/M/MV5BY2U1NmIwYzgtNjFkOS00YWUxLTg0YTMtZmE5NTA3YjRmY2NlXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg""",EOM3y4P8TEM
18,The Sopranos,1999,"Crime, Drama","['Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']",8.2,55,"""https://m.media-amazon.com/images/M/MV5BZGJjYzhjYTYtMDBjYy00OWU1LTg5OTYtNmYwOTZmZjE3ZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg""",u9qpFgAa52U
19,The Walking Dead,2010,"Drama, Horror, Thriller","['Norman Reedus', 'Melissa McBride', 'Danai Gurira']",8.5,44,"""https://m.media-amazon.com/images/M/MV5BYTUwOTM3ZGUtMDZiNy00M2I3LWI1ZWEtYzhhNGMyZjI3MjBmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg""",sfAc2U20uyg
