Title,Year,Genre,Stars
Hardcore Henry,2015,"Action, Adventure, Sci-Fi","['Sharlto Copley', 'Tim Roth', 'Haley Bennett', 'Danila Kozlovsky']"
The Neon Demon,2016,"Horror, Thriller","['Elle Fanning', 'Christina Hendricks', 'Keanu Reeves', 'Karl Glusman']"
13 Hours,2016,"Action, Drama, History","['John Krasinski', 'Pablo Schreiber', 'James Badge Dale', 'David Denman']"
Hush,2016,"Horror, Thriller","['John Gallagher Jr.', 'Kate Siegel', 'Michael Trucco', 'Samantha Sloyan']"
The Hollars,2016,"Comedy, Drama, Romance","['Sharlto Copley', 'Charlie Day', 'Richard Jenkins', 'Anna Kendrick']"
Keanu,2016,"Action, Comedy, Crime","['Keegan-Michael Key', 'Jordan Peele', 'Tiffany Haddish', 'Method Man']"
The Edge of Seventeen,2016,"Comedy, Drama","['Hailee Steinfeld', 'Haley Lu Richardson', 'Blake Jenner', 'Kyra Sedgwick']"
Anthropoid,2016,"Action, Biography, Drama","['Jamie Dornan', 'Cillian Murphy', 'Brian Caspe', 'Karel Hermánek Jr.']"
Popstar: Never Stop Never Stopping,2016,"Comedy, Music","['Jorma Taccone', 'Andy Samberg', 'Jorma Taccone', 'Akiva Schaffer', 'Sarah Silverman']"
Imperium,2016,"Biography, Crime, Drama","['Daniel Radcliffe', 'Toni Collette', 'Tracy Letts', 'Sam Trammell']"
A Monster Calls,2016,"Animation, Drama, Fantasy","['Lewis MacDougall', 'Sigourney Weaver', 'Felicity Jones', 'Toby Kebbell']"
Man Down,2015,"Drama, Thriller","['Shia LaBeouf', 'Jai Courtney', 'Gary Oldman', 'Kate Mara']"
The Fundamentals of Caring,2016,"Comedy, Drama","['Craig Roberts', 'Paul Rudd', 'Selena Gomez', 'Alex Huff']"
The Girl with All the Gifts,2016,"Drama, Horror, Sci-Fi","['Sennia Nanua', 'Fisayo Akinade', 'Dominique Tipper', 'Paddy Considine']"
Crawl,2019,"Drama, Horror, Thriller","['Kaya Scodelario', 'Barry Pepper', 'Morfydd Clark', 'Ross Anderson']"
Long Shot,2019,"Comedy, Romance","['Charlize Theron', 'Seth Rogen', 'June Diane Raphael', ""O'Shea Jackson Jr.""]"
The Peanut Butter Falcon,2019,"Adventure, Comedy, Drama","['Michael Schwartz', 'Zack Gottsagen', 'Ann Owens', 'Dakota Johnson', 'Bruce Dern']"
Ready or Not,2019,"Comedy, Horror, Mystery","['Tyler Gillett', 'Samara Weaving', 'Adam Brody', ""Mark O'Brien"", 'Henry Czerny']"
Plus One,2019,"Comedy, Drama, Romance","['Andrew Rhymer', 'Maya Erskine', 'Jack Quaid', 'Ed Begley Jr.', 'Alex Anfanger']"
Booksmart,2019,Comedy,"['Kaitlyn Dever', 'Beanie Feldstein', 'Jessica Williams', 'Jason Sudeikis']"
Triple Frontier,2019,"Action, Adventure, Crime","['Ben Affleck', 'Oscar Isaac', 'Charlie Hunnam', 'Garrett Hedlund']"
Fighting with My Family,2019,"Biography, Comedy, Drama","['Dwayne Johnson', 'Lena Headey', 'Vince Vaughn', 'Florence Pugh']"
Angel Has Fallen,2019,"Action, Thriller","['Gerard Butler', 'Frederick Schmidt', 'Danny Huston', 'Rocci Williams']"
Togo,2019,"Adventure, Biography, Drama","['Willem Dafoe', 'Julianne Nicholson', 'Christopher Heyerdahl', 'Richard Dormer']"
Dragged Across Concrete,2018,"Action, Crime, Drama","['Mel Gibson', 'Vince Vaughn', 'Tory Kittles', 'Michael Jai White']"
Doctor Sleep,2019,"Drama, Fantasy, Horror","['Ewan McGregor', 'Rebecca Ferguson', 'Kyliegh Curran', 'Cliff Curtis']"
November,2004,"Drama, Mystery, Thriller","['Courteney Cox', 'James Le Gros', 'Michael Ealy', 'Dori Mizrahi']"
Powder Blue,2009,Drama,"['Jessica Biel', 'Eddie Redmayne', 'Forest Whitaker', 'Ray Liotta']"
Bordertown,2007,"Crime, Drama, Mystery","['Jennifer Lopez', 'Antonio Banderas', 'Maya Zapata', 'Irineo Alvarez']"
For One Night,2006,"Drama, Romance","['Raven-Symoné', 'Aisha Tyler', 'Sam Jones III', 'Gary Grubbs']"
Mom at Sixteen,2005,Drama,"['Danielle Panabaker', 'Jane Krakowski', 'Clare Stone', 'Tyler Hynes']"
Lucky Girl,2001,Drama,"['Elisha Cuthbert', 'Sherry Miller', 'Evan Sabba', 'Greg Ellwand']"
Veronika Decides to Die,2009,"Drama, Romance","['Sarah Michelle Gellar', 'Jonathan Tucker', 'Erika Christensen', 'Florencia Lozano']"
Fetching Cody,2005,"Drama, Fantasy, Romance","['Jay Baruchel', 'Sarah Lind', 'Jim Byrnes', 'Lucas Blaney']"
The Sleeping Dictionary,2003,"Drama, Romance","['Jessica Alba', 'Brenda Blethyn', 'Hugh Dancy', 'Bob Hoskins']"
Motorama,1991,"Adventure, Comedy, Crime","['Jordan Christopher Michael', 'Martha Quinn', 'Michael Naegel', 'Susan Tyrrell']"
Tennessee,2008,"Adventure, Comedy, Drama","['Adam Rothenberg', 'Ethan Peck', 'Mariah Carey', 'Lance Reddick']"
Angel Eyes,2001,"Drama, Romance","['Jennifer Lopez', 'Jim Caviezel', 'Jeremy Sisto', 'Terrence Howard']"
Trucker,2008,Drama,"['Michelle Monaghan', 'Nathan Fillion', 'Benjamin Bratt', 'Joey Lauren Adams']"
Speedway Junky,1999,"Crime, Drama, Romance","['Richard Balin', 'Jaime Bergman', 'Jesse Bradford', 'Jordan Brower']"
Freeway,1996,"Comedy, Crime, Drama","['Reese Witherspoon', 'Kiefer Sutherland', 'Bokeem Woodbine', 'Paul Perri']"
Greta,2009,"Drama, Romance","['Hilary Duff', 'Evan Ross', 'Michael Murphy', 'Ellen Burstyn']"
Bang Bang You're Dead,2002,"Crime, Drama, Thriller","['Tom Cavanagh', 'Ben Foster', 'Randy Harrison', 'Janel Moloney']"
Wild Tigers I Have Known,2006,Drama,"['Malcolm Stumpf', 'Patrick White', 'Max Paradise', 'Fairuza Balk']"
Agnes of God,1985,"Drama, Mystery","['Jane Fonda', 'Anne Bancroft', 'Meg Tilly', 'Anne Pitoniak']"
An American Crime,2007,"Biography, Crime, Drama","['Ellen Page', 'Hayley McFarland', 'Nick Searcy', 'Romy Rosemont']"
Beloved,1998,"Drama, History, Horror","['Oprah Winfrey', 'Danny Glover', 'Yada Beener', 'Emil Pinnock']"
Boys on the Side,1995,"Comedy, Drama","['Whoopi Goldberg', 'Mary-Louise Parker', 'Drew Barrymore', 'Matthew McConaughey']"
Conviction,2010,"Biography, Crime, Drama","['Hilary Swank', 'Sam Rockwell', 'Melissa Leo', 'Thomas D. Mahard']"
Crossing Over,2009,"Crime, Drama","['Harrison Ford', 'Ashley Judd', 'Ray Liotta', 'Jim Sturgess']"
Disconnect,2012,"Drama, Thriller","['Jason Bateman', 'Jonah Bobo', 'Haley Ramm', 'Hope Davis']"
Big Miracle,2012,"Biography, Drama, Family","['Drew Barrymore', 'John Krasinski', 'John Pingayak', 'Ahmaogak Sweeney']"
One Hour Photo,2002,"Drama, Thriller","['Robin Williams', 'Connie Nielsen', 'Michael Vartan', 'Dylan Smith']"
Vera Drake,2004,"Crime, Drama","['Imelda Staunton', 'Jim Broadbent', 'Heather Craney', 'Richard Graham']"
The Dead Girl,2006,"Crime, Drama, Mystery","['Toni Collette', 'Brittany Murphy', 'Marcia Gay Harden', 'Piper Laurie']"
Running Scared,2006,"Action, Crime, Drama","['Paul Walker', 'Cameron Bright', 'Chazz Palminteri', 'Vera Farmiga']"
Naked Lunch,1991,Drama,"['Peter Weller', 'Judy Davis', 'Ian Holm', 'Julian Sands']"
House of Sand and Fog,2003,"Crime, Drama","['Jennifer Connelly', 'Ben Kingsley', 'Ron Eldard', 'Frances Fisher']"
Bug,2006,"Drama, Horror, Thriller","['Ashley Judd', 'Michael Shannon', 'Harry Connick Jr.', 'Lynn Collins']"
The Burning Plain,2008,"Crime, Drama, Romance","['Charlize Theron', 'John Corbett', 'José María Yazpik', 'Robin Tunney']"
Revolutionary Road,2008,"Drama, Romance","['Leonardo DiCaprio', 'Kate Winslet', 'Christopher Fitzgerald', 'Jonathan Roumie']"
The Pledge,2001,"Crime, Drama, Mystery","['Jack Nicholson', 'Benicio Del Toro', 'Patricia Clarkson', 'Beau Daniels']"
If These Walls Could Talk,1996,"Drama, Thriller","['Nancy Savoca', 'Demi Moore', 'Shirley Knight', 'Catherine Keener', 'Jason London']"
Bound,1996,"Crime, Romance, Thriller","['Lilly Wachowski', 'Jennifer Tilly', 'Gina Gershon', 'Joe Pantoliano', 'John P. Ryan']"
Hard Ball,2001,"Drama, Sport","['Keanu Reeves', 'Diane Lane', 'John Hawkes', 'Bryan Hearne']"
Frozen,2010,"Adventure, Drama, Thriller","['Shawn Ashmore', 'Emma Bell', 'Kevin Zegers', 'Ed Ackerman']"
Death and the Maiden,1994,"Drama, Mystery, Thriller","['Sigourney Weaver', 'Ben Kingsley', 'Stuart Wilson', 'Krystia Mova']"
Funny Money,2006,Comedy,"['Chevy Chase', 'Penelope Ann Miller', 'Armand Assante', 'Christopher McDonald']"
The Whistleblower,2010,"Biography, Crime, Drama","['Rachel Weisz', 'Monica Bellucci', 'Vanessa Redgrave', 'David Strathairn']"
After Sex,2007,"Comedy, Drama, Romance","['Marc Blucas', 'Jose Pablo Cantillo', 'Emmanuelle Chriqui', 'James DeBello']"
Jet Boy,2001,Drama,"['Branden Nadon', 'Joe Norman Shaw', 'Dylan Walsh', 'Matthew Currie Holmes']"
L.I.E.,2001,"Crime, Drama","['Brian Cox', 'Paul Dano', 'Bruce Altman', 'Billy Kay']"
Mean Creek,2004,"Crime, Drama","['Rory Culkin', 'Ryan Kelley', 'Scott Mechlowicz', 'Trevor Morgan']"
Hide and Seek,2005,"Drama, Horror, Mystery","['Robert De Niro', 'Dakota Fanning', 'Famke Janssen', 'Elisabeth Shue']"
The Cure,1995,Drama,"['Joseph Mazzello', 'Brad Renfro', 'Aeryk Egan', 'Delphine French']"
The Family Stone,2005,"Comedy, Drama, Romance","['Dermot Mulroney', 'Sarah Jessica Parker', 'Claire Danes', 'Diane Keaton']"
Smilla's Sense of Snow,1997,"Crime, Drama, Mystery","['Julia Ormond', 'Jens Jørgen Fleischer', 'Agga Olsen', 'Patrick Field']"
New Suit,2002,Comedy,"['Jordan Bridges', 'Marisa Coughlan', 'Heather Donahue', 'Mark Setlock']"
A Christmas Carol,1984,"Drama, Family, Fantasy","['George C. Scott', 'Frank Finlay', 'Angela Pleasence', 'Edward Woodward']"
The Invasion,2007,"Sci-Fi, Thriller","['James McTeigue', 'Nicole Kidman', 'Daniel Craig', 'Jeremy Northam', 'Jackson Bond']"
Rabbit Hole,2010,Drama,"['Nicole Kidman', 'Aaron Eckhart', 'Dianne Wiest', 'Miles Teller']"
Dirty Girl,2010,"Comedy, Drama","['Juno Temple', 'Jeremy Dozier', 'Milla Jovovich', 'Zach Lasry']"
Deceived,1991,"Crime, Drama, Mystery","['Goldie Hawn', 'John Heard', 'Damon Redfern', 'Charles Kassatly']"
U Turn,1997,"Crime, Drama, Thriller","['Sean Penn', 'Jennifer Lopez', 'Nick Nolte', 'Billy Bob Thornton']"
Dolores Claiborne,1995,"Crime, Drama, Mystery","['Kathy Bates', 'Jennifer Jason Leigh', 'Christopher Plummer', 'Judy Parfitt']"
North Country,2005,Drama,"['Charlize Theron', 'Jeremy Renner', 'Frances McDormand', 'Thomas Curtis']"
Riding in Cars with Boys,2001,"Biography, Comedy, Drama","['Drew Barrymore', 'Steve Zahn', 'Adam Garcia', 'Brittany Murphy']"
Trust,2010,"Crime, Drama, Thriller","['Clive Owen', 'Catherine Keener', 'Liana Liberato', 'Jason Clarke']"
Anna and the King,1999,"Drama, History, Romance","['Jodie Foster', 'Yun-Fat Chow', 'Bai Ling', 'Tom Felton']"
Blindness,2008,"Drama, Mystery, Sci-Fi","['Julianne Moore', 'Mark Ruffalo', 'Gael García Bernal', 'Yûsuke Iseya']"
The Good Girl,2002,"Drama, Romance","['Jennifer Aniston', 'Jake Gyllenhaal', 'Deborah Rush', 'Mike White']"
Man About Town,2006,"Comedy, Drama","['Ben Affleck', 'Rebecca Romijn', 'John Cleese', 'Sam Ball']"
The Mexican,2001,"Adventure, Comedy, Crime","['Brad Pitt', 'Julia Roberts', 'James Gandolfini', 'J.K. Simmons']"
No Reservations,2007,"Comedy, Drama, Romance","['Catherine Zeta-Jones', 'Aaron Eckhart', 'Abigail Breslin', 'Patricia Clarkson']"
Transamerica,2005,"Adventure, Comedy, Drama","['Felicity Huffman', 'Kevin Zegers', 'Fionnula Flanagan', 'Andrea James']"
Straight Talk,1992,"Comedy, Drama, Romance","['Dolly Parton', 'James Woods', 'Griffin Dunne', 'Michael Madsen']"
The Juror,1996,"Crime, Drama, Thriller","['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt', 'James Gandolfini']"
Heartbreakers,2001,"Comedy, Crime, Romance","['Sigourney Weaver', 'Jennifer Love Hewitt', 'Gene Hackman', 'Ray Liotta']"
The Killer Inside Me,2010,"Crime, Drama, Thriller","['Casey Affleck', 'Kate Hudson', 'Jessica Alba', 'Ned Beatty']"
Georgia Rule,2007,"Comedy, Drama","['Jane Fonda', 'Lindsay Lohan', 'Felicity Huffman', 'Dermot Mulroney']"
Inhale,2010,"Drama, Thriller","['Dermot Mulroney', 'Diane Kruger', 'Sam Shepard', 'Rosanna Arquette']"
Happy Endings,2005,"Comedy, Drama, Music","['Lisa Kudrow', 'Steve Coogan', 'Maggie Gyllenhaal', 'Jesse Bradford']"
Mother and Child,2009,"Drama, Romance","['Naomi Watts', 'Annette Bening', 'Kerry Washington', 'Alexandria M. Salling']"
Imaginary Heroes,2004,"Comedy, Drama","['Sigourney Weaver', 'Jeff Daniels', 'Emile Hirsch', 'Michelle Williams']"
Thanks for Sharing,2012,"Comedy, Drama, Romance","['Mark Ruffalo', 'Tim Robbins', 'Gwyneth Paltrow', 'Josh Gad']"
Louder Than Bombs,2015,Drama,"['Jesse Eisenberg', 'Gabriel Byrne', 'Isabelle Huppert', 'Devin Druid']"
Fried Green Tomatoes,1991,Drama,"['Kathy Bates', 'Jessica Tandy', 'Mary Stuart Masterson', 'Mary-Louise Parker']"
Secret in Their Eyes,2015,"Crime, Drama, Mystery","['Chiwetel Ejiofor', 'Nicole Kidman', 'Julia Roberts', 'Dean Norris']"
Welcome to the Dollhouse,1995,"Comedy, Drama","['Heather Matarazzo', 'Christina Brucato', 'Victoria Davis', 'Christina Vidal']"
Manderlay,2005,Drama,"['Bryce Dallas Howard', 'Isaach De Bankolé', 'Danny Glover', 'Willem Dafoe']"
Maps to the Stars,2014,"Comedy, Drama","['Julianne Moore', 'Mia Wasikowska', 'Robert Pattinson', 'John Cusack']"
Before I Go to Sleep,2014,"Drama, Horror, Mystery","['Nicole Kidman', 'Colin Firth', 'Mark Strong', 'Anne-Marie Duff']"
Prime,2005,"Comedy, Drama, Romance","['Uma Thurman', 'Meryl Streep', 'Bryan Greenberg', 'Jon Abrahams']"
Triangle,2009,"Fantasy, Mystery, Thriller","['Melissa George', 'Joshua McIvor', 'Jack Taylor', 'Michael Dorman']"
Blue Jasmine,2013,Drama,"['Cate Blanchett', 'Alec Baldwin', 'Peter Sarsgaard', 'Sally Hawkins']"
The Kings of Summer,2013,"Adventure, Comedy, Drama","['Nick Robinson', 'Gabriel Basso', 'Moises Arias', 'Nick Offerman']"
The Painted Veil,2006,"Drama, Romance","['Naomi Watts', 'Edward Norton', 'Liev Schreiber', 'Catherine An']"
Wild,2014,"Biography, Drama","['Reese Witherspoon', 'Laura Dern', 'Gaby Hoffmann', 'Michiel Huisman']"
Warm Bodies,2013,"Comedy, Horror, Romance","['Nicholas Hoult', 'Teresa Palmer', 'John Malkovich', 'Analeigh Tipton']"
Nine Lives,2005,Drama,"['Kathy Baker', 'Amy Brenneman', 'Glenn Close', 'LisaGay Hamilton']"
The House of the Devil,2009,Horror,"['Jocelin Donahue', 'Tom Noonan', 'Mary Woronov', 'Greta Gerwig']"
Good Time,2017,"Crime, Drama, Thriller","['Josh Safdie', 'Robert Pattinson', 'Benny Safdie', 'Jennifer Jason Leigh', 'Buddy Duress']"
Time Lapse,2014,"Sci-Fi, Thriller","['Danielle Panabaker', ""Matt O'Leary"", 'George Finn', 'John Rhys-Davies']"
